Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-04-14 06:26:22,Reg SV Regular,160042141168243,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,2.15,Unlmtd,,Success,First Transit,3219,6,14,103002,10,2016-04-14 06:14:49,2016-04-14 06:33:36,0.8,19.0,0.6
2016-04-14 07:07:34,Reg SV Regular,160008523022555,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,0.25,Unlmtd,,Success,First Transit,3219,6,55,103004,10,2016-04-14 06:57:34,2016-04-14 07:17:19,2.6,21.0,1.3
2016-04-14 07:33:49,ASI,160038261490193,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,7,29,103005,10,2016-04-14 07:30:21,2016-04-14 07:51:04,1.4,18.0,4.1
2016-04-14 07:55:17,Reg SV Regular,160041675281521,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,2.5,Unlmtd,,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 07:56:09,Reg SV Regular,160041802549360,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,6.75,Unlmtd,,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 07:59:55,ASI,160005646159199,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 08:01:45,ASI,160011542335909,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,1.25,Unlmtd,0.0,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 08:05:43,EZ Pass AdultZ0,160008135128063,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 08:08:32,Reg SV Sr/Dis,160008121300312,,3219,SV Entry (Tag On),,1,0.35,0.0,-0.35,-0.35,19.15,Unlmtd,,Success,First Transit,3219,7,51,103006,10,2016-04-14 07:51:19,2016-04-14 08:17:04,0.3,21.0,5.1
2016-04-14 08:43:14,ASI,160005586927191,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,8,36,103008,10,2016-04-14 08:39:20,2016-04-14 09:02:05,3.3,21.0,5.1
2016-04-14 08:46:15,Reg SV Regular,160041888683349,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,5.0,Unlmtd,,Success,First Transit,3219,8,36,103008,10,2016-04-14 08:39:20,2016-04-14 09:02:05,3.3,21.0,5.1
2016-04-14 09:30:41,Reg SV Regular,160008705394392,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,21.0,Unlmtd,,Success,First Transit,3219,9,22,103010,10,2016-04-14 09:26:05,2016-04-14 09:49:50,4.1,23.0,4.8
2016-04-14 09:32:26,ASI,160008105637911,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,9,22,103010,10,2016-04-14 09:26:05,2016-04-14 09:49:50,4.1,23.0,4.8
2016-04-14 11:08:01,ASI,160005585510873,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,2,103014,10,2016-04-14 11:05:06,2016-04-14 11:28:20,3.1,24.0,2.3
2016-04-14 11:08:06,ASI,160033084326500,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,2,103014,10,2016-04-14 11:05:06,2016-04-14 11:28:20,3.1,24.0,2.3
2016-04-14 11:10:05,EZ Pass AdultZ0,160008088322275,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,2,103014,10,2016-04-14 11:05:06,2016-04-14 11:28:20,3.1,24.0,2.3
2016-04-14 11:11:25,ASI,160004975267673,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,2,103014,10,2016-04-14 11:05:06,2016-04-14 11:28:20,3.1,24.0,2.3
2016-04-14 11:13:30,ASI,160005598877590,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,2,103014,10,2016-04-14 11:05:06,2016-04-14 11:28:20,3.1,24.0,2.3
2016-04-14 12:06:23,ASI,160008090141275,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,12,1,103016,10,2016-04-14 12:01:20,2016-04-14 12:25:20,0.3,24.0,0.3
2016-04-14 12:09:57,DCFS EZ (New),1700304567331877121,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,12,1,103016,10,2016-04-14 12:01:20,2016-04-14 12:25:20,0.3,24.0,0.3
2016-04-14 12:59:50,Reg SV Regular,160004931587354,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,3.25,Unlmtd,,Success,First Transit,3219,12,55,103018,10,2016-04-14 12:55:20,2016-04-14 13:23:50,0.3,24.0,4.8
2016-04-14 13:12:26,ASI,160005835283032,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,12,55,103018,10,2016-04-14 12:55:20,2016-04-14 13:23:50,0.3,24.0,4.8
2016-04-14 13:27:07,Reg SV Regular,160005434223835,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,15.15,Unlmtd,,Success,First Transit,3219,13,26,103019,10,2016-04-14 13:26:36,2016-04-14 13:46:51,0.6,20.0,0.9
2016-04-14 14:30:20,Reg SV Regular,160042821900402,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,1.25,Unlmtd,,Success,First Transit,3219,14,25,103021,10,2016-04-14 14:25:36,2016-04-14 14:45:06,0.6,20.0,0.1
2016-04-14 14:35:21,Reg SV Regular,160008992112671,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,3.8,Unlmtd,,Success,First Transit,3219,14,25,103021,10,2016-04-14 14:25:36,2016-04-14 14:45:06,0.6,20.0,0.1
2016-04-14 14:52:11,Reg SV Regular,160005031338390,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,27.25,Unlmtd,,Success,First Transit,3219,14,47,103022,10,2016-04-14 14:47:20,2016-04-14 15:13:05,0.3,24.0,2.1
2016-04-14 15:04:13,EZ Pass AdultZ0,160000921323289,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,14.5,Unlmtd,0.0,Success,First Transit,3219,14,47,103022,10,2016-04-14 14:47:20,2016-04-14 15:13:05,0.3,24.0,2.1
2016-04-14 15:04:15,EZ Pass AdultZ0,160008206225756,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,4.5,Unlmtd,0.0,Success,First Transit,3219,14,47,103022,10,2016-04-14 14:47:20,2016-04-14 15:13:05,0.3,24.0,2.1
2016-04-14 15:04:16,EZ Pass AdultZ0,160013374880614,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,2.5,Unlmtd,0.0,Success,First Transit,3219,14,47,103022,10,2016-04-14 14:47:20,2016-04-14 15:13:05,0.3,24.0,2.1
2016-04-14 15:06:49,Reg SV Regular,160008094883674,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,6.0,Unlmtd,,Success,First Transit,3219,14,47,103022,10,2016-04-14 14:47:20,2016-04-14 15:13:05,0.3,24.0,2.1
2016-04-14 16:42:53,ASI,160011833643581,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 16:44:10,EZ Pass S/D Z0,1701627397104759084,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,1.05,Unlmtd,0.0,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 16:45:24,Reg SV Student,160029024629318,,3219,SV Entry (Tag On),,1,0.5,0.0,-0.5,-0.5,5.0,Unlmtd,,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 16:45:26,Reg SV Regular,160004832572638,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,6.75,Unlmtd,,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 16:45:28,Reg SV Regular,160004829832474,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,4.25,Unlmtd,,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 16:56:35,EZ Pass AdultZ0,160008672579678,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,16,36,103026,10,2016-04-14 16:36:36,2016-04-14 17:08:06,0.6,23.0,9.1
2016-04-14 17:10:30,Reg SV Sr/Dis,160008121226715,,3219,SV Entry (Tag On),,1,0.35,0.0,-0.35,-0.35,21.2,Unlmtd,,Success,First Transit,3219,17,6,103027,10,2016-04-14 17:08:20,2016-04-14 17:30:50,2.3,20.0,4.8
2016-04-14 17:13:21,Reg SV Regular,160005031338390,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,26.5,Unlmtd,,Success,First Transit,3219,17,6,103027,10,2016-04-14 17:08:20,2016-04-14 17:30:50,2.3,20.0,4.8
2016-04-14 17:14:00,Reg SV Regular,160041888683349,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,4.25,Unlmtd,,Success,First Transit,3219,17,6,103027,10,2016-04-14 17:08:20,2016-04-14 17:30:50,2.3,20.0,4.8
2016-04-14 17:15:43,Reg SV Regular,160013025963421,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,2.25,Unlmtd,,Success,First Transit,3219,17,6,103027,10,2016-04-14 17:08:20,2016-04-14 17:30:50,2.3,20.0,4.8
2016-04-14 17:29:22,Reg SV Regular,160004856112477,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,3.0,Unlmtd,,Success,First Transit,3219,17,6,103027,10,2016-04-14 17:08:20,2016-04-14 17:30:50,2.3,20.0,4.8
2016-04-14 17:34:28,Reg SV Regular,160001072997509,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,23.95,Unlmtd,,Success,First Transit,3219,17,28,103028,10,2016-04-14 17:31:05,2016-04-14 17:57:05,3.1,26.0,3.1
2016-04-14 17:37:03,Reg SV Regular,160001640926485,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,15.25,Unlmtd,,Success,First Transit,3219,17,28,103028,10,2016-04-14 17:31:05,2016-04-14 17:57:05,3.1,26.0,3.1
2016-04-14 17:37:07,Reg SV Regular,160008092297752,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,4.25,Unlmtd,,Success,First Transit,3219,17,28,103028,10,2016-04-14 17:31:05,2016-04-14 17:57:05,3.1,26.0,3.1
2016-04-14 18:02:33,Reg SV Regular,160005377749598,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,4.5,Unlmtd,,Success,First Transit,3219,18,1,103029,10,2016-04-14 18:01:36,2016-04-14 18:20:21,0.6,20.0,-0.6
2016-04-14 18:06:12,Reg SV Regular,160012000041344,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,19.5,Unlmtd,,Success,First Transit,3219,18,1,103029,10,2016-04-14 18:01:36,2016-04-14 18:20:21,0.6,20.0,-0.6
2016-04-14 18:06:16,EZ Pass AdultZ1,160005843497756,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,214.6,Unlmtd,0.0,Success,First Transit,3219,18,1,103029,10,2016-04-14 18:01:36,2016-04-14 18:20:21,0.6,20.0,-0.6
2016-04-14 18:31:08,Reg SV Regular,160008258605913,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,2.5,Unlmtd,,Success,First Transit,3219,18,23,103030,10,2016-04-14 18:23:36,2016-04-14 18:47:20,0.6,22.0,2.3
2016-04-14 19:20:58,Reg SV Regular,160007591080677,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,11.75,Unlmtd,,Success,First Transit,3219,19,18,103032,10,2016-04-14 19:18:51,2016-04-14 19:41:51,0.9,22.0,1.9
2016-04-14 19:22:45,ASI,160041938303047,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,19,18,103032,10,2016-04-14 19:18:51,2016-04-14 19:41:51,0.9,22.0,1.9
2016-04-14 19:32:46,Reg SV Regular,160008359793311,,3219,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,2.25,Unlmtd,,Success,First Transit,3219,19,18,103032,10,2016-04-14 19:18:51,2016-04-14 19:41:51,0.9,22.0,1.9
2016-04-14 19:49:53,DCFS EZ (New),1701999280896241927,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,19,47,103033,10,2016-04-14 19:48:51,2016-04-14 20:06:04,1.9,15.0,4.1
2016-04-14 19:59:03,DCFS EZ (New),1701814897950224680,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,19,47,103033,10,2016-04-14 19:48:51,2016-04-14 20:06:04,1.9,15.0,4.1
2016-04-14 08:23:40,Reg SV Regular,160008334055836,,3209,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,12.0,Unlmtd,,Success,First Transit,3209,8,23,601007,60,2016-04-14 08:23:24,2016-04-14 08:45:10,0.4,21.0,1.2
2016-04-14 08:53:58,ASI,160028110701239,,3209,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,8,47,601008,60,2016-04-14 08:47:10,2016-04-14 09:07:39,0.2,17.0,3.7
2016-04-14 09:52:30,Reg SV Regular,160022047145107,,3209,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,9.5,Unlmtd,,Success,First Transit,3209,9,36,601010,60,2016-04-14 09:36:24,2016-04-14 09:59:24,0.4,17.0,6.4
2016-04-14 10:26:05,ASI,160041274202241,,3209,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,10,19,601012,60,2016-04-14 10:21:39,2016-04-14 10:40:52,2.7,17.0,4.9
2016-04-14 15:15:45,Reg SV Regular,160005817765592,,3209,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,1.0,Unlmtd,,Success,First Transit,3209,15,8,602002,60,2016-04-14 15:09:28,2016-04-14 15:30:28,1.5,17.0,5.5
2016-04-14 18:05:26,Reg SV Regular,160005277587031,,3209,SV Entry (Tag On),,1,0.75,0.0,-0.75,-0.75,10.0,Unlmtd,,Success,First Transit,3209,18,6,602009,60,2016-04-14 18:05:24,2016-04-14 18:27:53,-0.6,22.0,-0.1
2016-04-14 18:16:05,ASI,160033085939780,,3209,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3209,18,6,602009,60,2016-04-14 18:05:24,2016-04-14 18:27:53,-0.6,22.0,-0.1
2016-04-14 05:45:42,EZ Pass AdultZ0,160008252699672,,3295,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,5,41,293001,20cc,2016-04-14 05:44:45,2016-04-14 06:36:18,3.8,55.0,0.3
