Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-04-23 11:03:05,ASI,160008120238877,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,0,291001,20cc,2016-04-23 11:01:48,2016-04-23 11:22:19,1.8,23.0,-0.7
2016-04-23 11:22:17,ASI,160005326847519,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,0,291001,20cc,2016-04-23 11:01:48,2016-04-23 11:22:19,1.8,23.0,-0.7
2016-04-23 11:40:44,ASI,160041279133920,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 12:00:09,ASI,160011560958467,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 12:03:12,ASI,160019589816038,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 12:03:54,ASI,160011832964541,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 12:04:21,EZ Pass AdultZ0,160008349408152,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 12:08:30,Reg SV Sr/Dis,160026588419813,,3219,SV Entry (Tag On),,1,0.35,0.0,-0.35,-0.35,4.8,Unlmtd,,Success,First Transit,3219,11,23,291002,20cc,2016-04-23 11:23:18,2016-04-23 12:27:48,0.3,64.0,0.8
2016-04-23 13:39:13,EZ Pass AdultZ0,160008295636632,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,13,34,291004,20cc,2016-04-23 13:35:03,2016-04-23 14:37:04,1.1,64.0,-0.9
2016-04-23 13:53:55,DCFS EZ (New),1701017321181180160,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,13,34,291004,20cc,2016-04-23 13:35:03,2016-04-23 14:37:04,1.1,64.0,-0.9
2016-04-23 13:53:59,ASI,160033065042183,,3219,Pass Entry (Tag On),,1,0.0,0.0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3219,13,34,291004,20cc,2016-04-23 13:35:03,2016-04-23 14:37:04,1.1,64.0,-0.9
