Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
22-Apr-16 06:26:46,Reg SV Student,0160005346064475,N/A,3219,SV Entry (Tag On),,1,0.50,0.00,-0.50,-0.50,3.00,Unlmtd,,Success
22-Apr-16 06:26:48,Reg SV Regular,0160013032477340,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,3.00,Unlmtd,,Success
22-Apr-16 07:06:20,ASI,0160008073276312,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 07:20:06,Reg SV Sr/Dis,0160026869864935,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,12.40,Unlmtd,,Success
22-Apr-16 07:20:59,ASI,0160005334705113,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 07:24:46,EZ Pass AdultZ0,0160023203717101,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.05,Unlmtd,0,Success
22-Apr-16 07:34:07,Reg SV Sr/Dis,0160005622305758,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,7.40,Unlmtd,,Success
22-Apr-16 08:08:49,ASI,0160042245076169,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 08:33:04,ASI,0160012139331426,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.75,Unlmtd,0,Success
22-Apr-16 08:43:19,Reg SV Regular,0160008417593117,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,91.50,Unlmtd,,Success
22-Apr-16 08:48:50,ASI,0160011832019262,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 08:51:56,Reg SV Sr/Dis,0160034174711635,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,3.50,Unlmtd,,Success
22-Apr-16 09:04:46,ASI,0160005688457113,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:07:43,ASI,0160028112222994,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:10:51,ASI,0160005519533595,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:15:24,ASI,0160011825355749,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:15:30,ASI,0160008073276312,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:19:57,ASI,0160041555517440,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 09:32:36,ASI,0160008289223835,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 10:09:41,ASI,0160033079622343,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 10:21:13,ASI,0160028112222994,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 10:21:58,ASI,0160005519533595,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 10:29:17,ASI,0160019588884359,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 10:31:14,EZ Pass AdultZ0,0160008448430875,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.50,Unlmtd,0,Success
22-Apr-16 10:43:04,Reg SV Sr/Dis,0160034174711635,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,3.15,Unlmtd,,Success
22-Apr-16 11:15:10,Reg SV Regular,0160008424199197,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,16.00,Unlmtd,,Success
22-Apr-16 11:20:52,ASI,0160011825355749,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 11:25:57,ASI,0160033083816741,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 11:25:59,ASI,0160008109026392,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 11:39:49,ASI,0160008034289800,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 11:42:21,ASI,0160008073830878,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 11:42:36,ASI,0160005586531670,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.75,Unlmtd,0,Success
22-Apr-16 12:04:01,ASI,0160005751864476,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:09:59,ASI,0160041938303047,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:25:19,ASI,0160008063906449,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:28:31,ASI,0160012372698143,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:28:34,ASI,0160005334431835,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:28:48,ASI,0160019589209630,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:28:52,ASI,0160019589762273,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 12:50:43,Reg SV Regular,0160008465274073,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,13.00,Unlmtd,,Success
22-Apr-16 12:54:18,Reg SV Regular,0160008454639518,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,0.75,Unlmtd,,Success
22-Apr-16 13:17:35,EZ Pass AdultZ0,0160007941114119,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,12.90,Unlmtd,0,Success
22-Apr-16 13:26:20,EZ Annual Z5,0160036860536143,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 13:28:11,Reg SV Regular,0160040463554537,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,4.40,Unlmtd,,Success
22-Apr-16 13:34:11,ASI,0160005498843031,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 13:37:52,ASI,0160036514838671,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 13:42:28,ASI,0160008109794072,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 13:51:43,ASI,0160008110469912,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 13:54:16,Reg SV Regular,0160001537917506,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,59.50,Unlmtd,,Success
22-Apr-16 14:31:07,EZ Pass AdultZ0,0160008237212633,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 14:44:13,ASI,0160008085226396,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 14:45:19,Reg SV Regular,0160001306195581,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,255.40,Unlmtd,,Success
22-Apr-16 14:48:18,Reg SV Regular,0160008992112671,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,5.05,Unlmtd,,Success
22-Apr-16 14:54:12,ASI,0160008110469912,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 14:54:18,Reg SV Sr/Dis,0160005808940311,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,5.30,Unlmtd,,Success
22-Apr-16 15:00:11,ASI,0160008073705112,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:06:53,DCFS EZ (New),01701799860195979525,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:07:02,DCFS EZ (New),01700249591750488325,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:13:02,ASI,0160005336364638,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:49:26,ASI,0160008290777431,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:50:06,ASI,0160020984586887,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:55:45,ASI,0160005522505119,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 15:59:14,Reg SV Regular,0160005446787678,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,19.50,Unlmtd,,Success
22-Apr-16 16:10:48,ASI,0160011542575900,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
22-Apr-16 16:41:01,ASI,0160008072337750,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
