Trip Date,18,,,,,,,,,
Day,All,,,,,,,,,
,,,,,,,,,,
,,,,,,Data,,,,
Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
First Transit,2210,7,12,304001,31,7:12:30 AM,7:40:31 AM,0.5,29.0,-0.5
,3058,6,39,502001,51,6:39:36 AM,6:57:20 AM,0.6,16.0,2.3
,,7,5,502002,51,7:05:36 AM,7:35:50 AM,0.6,24.0,6.8
,,,29,502003,51,7:36:20 AM,8:05:36 AM,7.3,27.0,9.6
,,14,45,602001,60,2:45:53 PM,3:10:24 PM,0.9,23.0,2.4
,,15,8,602002,60,3:11:07 PM,3:31:54 PM,3.1,17.0,6.9
,,,31,602003,60,3:32:39 PM,3:52:55 PM,1.7,23.0,-1.1
,,,56,602004,60,3:56:53 PM,4:18:39 PM,0.9,19.0,3.7
,,16,18,602005,60,4:19:08 PM,4:40:39 PM,1.1,23.0,-0.3
,,,45,602006,60,4:45:38 PM,5:04:53 PM,0.6,19.0,0.9
,,17,17,602007,60,5:18:08 PM,5:39:23 PM,1.1,24.0,-1.6
,,,45,602008,60,5:45:38 PM,6:03:38 PM,0.6,18.0,0.6
,,18,6,602009,60,6:07:23 PM,6:28:24 PM,1.4,22.0,0.4
,,,30,602010,60,6:30:39 PM,6:48:54 PM,0.7,17.0,1.9
,,,47,602011,60,6:49:39 PM,7:09:39 PM,2.7,22.0,0.7
,,19,13,602012,60,7:13:54 PM,7:31:39 PM,0.9,17.0,1.7
,3206,5,58,601001,60,,6:20:43 AM,,18.0,4.7
,,6,20,601002,60,6:20:58 AM,6:41:13 AM,1.0,16.0,5.2
,,,41,601003,60,6:41:28 AM,6:59:44 AM,0.5,20.0,-1.3
,,7,3,601004,60,7:01:15 AM,7:35:19 AM,-1.8,17.0,15.3
,,,33,601005,60,,7:58:04 AM,,21.0,4.1
,,,58,601006,60,7:58:49 AM,8:23:19 AM,0.8,18.0,7.3
,,8,23,601007,60,8:23:34 AM,8:51:34 AM,0.6,21.0,7.6
,,,47,601008,60,8:52:19 AM,9:12:04 AM,5.3,17.0,8.1
,,9,12,601009,60,9:12:19 AM,9:32:19 AM,0.3,20.0,0.3
,,,36,601010,60,9:33:21 AM,,-2.7,17.0,
,,,58,601011,60,9:59:19 AM,10:22:49 AM,1.3,20.0,4.8
,,10,19,601012,60,10:23:19 AM,10:46:49 AM,4.3,17.0,10.8
,,13,13,501102,51,,1:42:39 PM,,26.0,3.7
,,,46,501103,51,1:47:38 PM,,1.6,24.0,
,,14,12,501104,51,2:14:24 PM,2:39:08 PM,2.4,26.0,1.1
,,,45,501105,51,2:45:46 PM,3:14:00 PM,0.8,25.0,4.0
,,15,12,501106,51,3:15:00 PM,3:37:32 PM,3.0,27.0,-1.5
,,16,3,501107,51,4:04:37 PM,4:36:52 PM,1.6,28.0,5.9
,,,34,501108,52,4:38:37 PM,5:17:37 PM,4.6,35.0,8.6
,,17,16,501109,51,5:19:37 PM,5:47:22 PM,3.6,26.0,5.4
,,,45,501110,51,5:48:22 PM,6:13:22 PM,3.4,27.0,1.4
,,18,25,501111,51,6:27:30 PM,6:53:45 PM,2.5,25.0,3.8
,,,53,501112,52,6:54:15 PM,7:29:15 PM,1.3,35.0,1.3
,,19,34,501113,51,7:34:45 PM,7:57:46 PM,0.8,24.0,-0.2
