Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
19-Apr-16 06:57:10,EZ Pass AdultZ0,0160008917628702,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,2.00,Unlmtd,0,Success
19-Apr-16 07:18:12,EZ Pass AdultZ0,0160018932331125,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 07:41:36,Reg SV Regular,0160015195478643,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,15.50,Unlmtd,,Success
19-Apr-16 08:03:34,Reg SV Regular,0160001975879580,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,10.25,Unlmtd,,Success
19-Apr-16 08:07:25,Reg SV Regular,0160004946970397,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,43.65,Unlmtd,,Success
19-Apr-16 08:46:33,Reg SV Regular,0160018645606003,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,4.00,Unlmtd,,Success
19-Apr-16 09:39:52,Reg SV Regular,0160004938804315,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.25,Unlmtd,,Success
19-Apr-16 09:48:40,Reg SV Sr/Dis,0160005620120472,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,1.15,Unlmtd,,Success
19-Apr-16 09:52:58,ASI,0160005657154394,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 09:55:00,ASI,0160008290757276,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 10:02:31,ASI,0160033064425389,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 10:03:42,ASI,0160008119602398,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 10:09:18,ASI,0160005342376154,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 10:22:23,Reg SV Regular,0160000949255448,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,12.75,Unlmtd,,Success
19-Apr-16 10:22:26,Reg SV Regular,0160000921241366,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,6.75,Unlmtd,,Success
19-Apr-16 10:33:13,Reg SV Regular,0160005659977438,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,10.90,Unlmtd,,Success
19-Apr-16 10:38:47,Reg SV College,01701512823505056000,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,2.50,Unlmtd,,Success
19-Apr-16 12:25:27,ASI,0160020984637128,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 13:09:15,Reg SV Regular,0160005434223835,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,3.40,Unlmtd,,Success
19-Apr-16 13:09:19,Reg SV Sr/Dis,0160028531958210,N/A,3219,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,3.65,Unlmtd,,Success
19-Apr-16 14:16:38,ASI,0160005754143837,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 15:56:29,Reg SV Regular,0160041343423604,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,28.90,Unlmtd,,Success
19-Apr-16 16:23:15,ASI,0160033085168745,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 16:35:35,EZ Pass AdultZ0,0160008672579678,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 17:10:14,Reg SV Regular,0160007591080677,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.25,Unlmtd,,Success
19-Apr-16 17:10:19,Reg SV Regular,0160041801922162,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,17.75,Unlmtd,,Success
19-Apr-16 17:24:00,ASI,0160033085168745,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 17:48:28,ASI,0160005643169753,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 18:06:48,Reg SV Regular,0160002429447743,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,104.05,Unlmtd,,Success
19-Apr-16 19:01:13,Reg SV Regular,0160008861405479,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,6.50,Unlmtd,,Success
19-Apr-16 19:29:13,Reg SV Regular,0160008306585430,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,11.00,Unlmtd,,Success
19-Apr-16 19:30:40,Reg SV Regular,0160008270348310,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,8.50,Unlmtd,,Success
19-Apr-16 19:30:43,Reg SV Regular,0160008534983191,N/A,3219,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,24.25,Unlmtd,,Success
19-Apr-16 19:33:46,ASI,0160041274323849,N/A,3219,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 06:49:10,EZ Pass AdultZ0,0160010609932772,N/A,3209,Pass Entry (Tag On),,1,0.00,0.00,0.00,0.00,0.00,Unlmtd,0,Success
19-Apr-16 07:08:35,Reg SV Regular,0160008360930597,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,30.25,Unlmtd,,Success
19-Apr-16 07:13:17,Reg SV Regular,0160007833178115,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,8.00,Unlmtd,,Success
19-Apr-16 07:55:26,Reg SV College,01702146485509976328,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,7.75,Unlmtd,,Success
19-Apr-16 07:57:56,Reg SV Regular,0160005277962713,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,20.90,Unlmtd,,Success
19-Apr-16 08:01:20,Reg SV Sr/Dis,01700216133955252484,N/A,3209,SV Entry (Tag On),,1,0.35,0.00,-0.35,-0.35,3.50,Unlmtd,,Success
19-Apr-16 08:23:44,Reg SV Regular,0160008092759835,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,14.00,Unlmtd,,Success
19-Apr-16 08:23:46,Reg SV Regular,0160008416855194,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,22.50,Unlmtd,,Success
19-Apr-16 08:23:49,Reg SV Regular,0160008371740639,N/A,3209,SV Entry (Tag On),,1,0.75,0.00,-0.75,-0.75,57.50,Unlmtd,,Success
